"Genus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Coraliomargarita"	67.9257720203324	-5.89719686794852	0.82894201514222	-7.11412470380905	1.1262528618653e-12	2.17366802340003e-10
"Nautilia"	27.8160258067351	-5.87588566507233	0.931493972450928	-6.30802328179518	2.82621710082835e-10	2.72729950229936e-08
"Cylindrospermopsis"	6.17119736138631	-4.46933275149846	0.8988699257637	-4.97216852338364	6.62081125209169e-07	1.91672485748054e-05
"Mesoplasma"	6.2347788558229	-4.43093121738924	0.804575528345533	-5.50716627747884	3.64655800013213e-08	1.91941552916046e-06
"Collimonas"	3.00751664690325	-4.41511978577137	1.75920252257141	-2.50972797567266	0.0120824196689434	0.0378147080449635
"Kosmotoga"	9.07266725328135	-4.33109499529184	0.796532078242681	-5.43743951260213	5.40516909302344e-08	2.60799408738381e-06
"unclassified..derived.from.Lachnospiraceae."	26.0501550431463	-4.26019277372317	0.898956813674795	-4.73904052888611	2.14732556416973e-06	4.78192885251644e-05
"Ethanoligenens"	309.748731389517	-4.24007310265223	0.580715509085993	-7.3014635158028	2.84654269787561e-13	8.24074111034989e-11
"Mucilaginibacter"	50.4879990314091	-3.83745957399416	0.655805221182398	-5.85152336401856	4.87090841330345e-09	4.028937101861e-07
"Marinococcus"	1.29997727650165	-3.821155282882	1.13140282369092	-3.37736056766804	0.000731850465522398	0.00407443672632181
"unclassified..derived.from.Clostridiales."	19.075380488263	-3.49088905024975	0.944373113724455	-3.69651465031893	0.000218579651121161	0.00154338558535552
"Nitratiruptor"	7.79101319582825	-3.27518011920198	0.665758271104125	-4.91947342054086	8.6777350702937e-07	2.28382209350002e-05
"Cyanobium"	4.85202331698737	-2.90462612891791	0.722705912108075	-4.01909833620338	5.84212856690902e-05	0.000583205593144883
"Methylovorus"	17.6287191775807	-2.9034678548165	0.794390249226796	-3.65496411573849	0.000257217952629772	0.00173173482061207
"Lyngbya"	7.79342114991903	-2.81195152358295	0.75682492922873	-3.71545837747254	0.000202835653905411	0.00144989930384238
"Ilyobacter"	19.1667721057866	-2.7170999436216	0.468349378212841	-5.80143813575604	6.57485543100177e-09	4.75855161818753e-07
"Francisella"	23.0377745036233	-2.66014172206031	0.667744429634263	-3.98377223980337	6.78298849961753e-05	0.000613648490824773
"unclassified..derived.from.Alteromonadales."	0.478886828160213	-2.64760986917011	0.672488571861318	-3.93703325224106	8.24951793312389e-05	0.000712906101981901
"Nitrospira"	11.8450942825343	-2.55697664773491	0.697964344086283	-3.66347746758081	0.000248814113195487	0.00171504013738318
"Fervidobacterium"	8.09517223432621	-2.51044246718094	0.559734857506705	-4.48505651115513	7.28946125550982e-06	0.000134876319025406
"Methylobacter"	8.52349904793853	-2.46996883063863	0.869191593323967	-2.8416851354866	0.00448757879022393	0.0167632781905784
"Halothiobacillus"	10.4923126083151	-2.40711320785523	0.842537984907004	-2.85697885552414	0.00427694328416945	0.0160801958541176
"Limnobacter"	8.50509616162863	-2.39212617264276	0.741807797114113	-3.22472503248004	0.00126093713841043	0.0063485443751273
"Dehalogenimonas"	4.7276263435473	-2.36314921213256	0.633955894980655	-3.72762400482871	0.000193293461285372	0.00139896142605288
"Bifidobacterium"	158.736946991081	-2.34814315497227	0.280647227970702	-8.3668852600155	5.91612554523734e-17	3.42543669069242e-14
"Hydrogenobaculum"	1.23611373090996	-2.34394404522979	0.598354199185463	-3.91731861900626	8.95393697829578e-05	0.000751352102961342
"unclassified..derived.from.Alphaproteobacteria."	3.48393103832727	-2.33076334298071	0.88856531138678	-2.62306362077437	0.00871429982851014	0.0289975839121113
"Fulvimarina"	12.0597665986443	-2.22941390705453	0.659534919796624	-3.3802818321462	0.000724115369927556	0.00407051261347626
"Erysipelothrix"	5.27517995925331	-2.21894897889878	0.544849200822958	-4.07259288542078	4.64926493776071e-05	0.000498504518326565
"Ktedonobacter"	17.1815506837353	-2.20851822515864	0.576739119821565	-3.82931926976259	0.000128498211425748	0.00103333978354873
"Microcystis"	7.95178930271573	-2.14310088980813	0.691275949753834	-3.10021040160777	0.00193383218670262	0.00861299104692936
"Denitrovibrio"	7.72264605047492	-2.03024863525896	0.608848589577337	-3.33457064697869	0.000854311961342592	0.00453804243685652
"Hoeflea"	9.89228782413542	-1.99748783659334	0.528295762095418	-3.78100295310066	0.000156197821157509	0.00120355624433045
"Ketogulonicigenium"	18.7470234658129	-1.96321071964549	0.640727330599116	-3.0640346148646	0.00218373641534574	0.00916219843829845
"Desulfonatronospira"	2.04311197337106	-1.86132744582834	0.762216596437367	-2.44199280693738	0.0146064376487461	0.0433698840955076
"Moorella"	17.5927392951682	-1.84456579442774	0.543012960153168	-3.39690933694739	0.000681515427557513	0.00386860227995882
"Gemmatimonas"	15.4029918447993	-1.84330640758168	0.415347256327873	-4.43798864564206	9.08034079383393e-06	0.000146257531227037
"Dokdonia"	14.5292916645599	-1.81899568545133	0.450923638805224	-4.03393286338009	5.48509955610473e-05	0.000557170639120112
"Cryptobacterium"	14.3831934529807	-1.76926781863347	0.40240201475467	-4.39676679976895	1.09875282470815e-05	0.000167415233027899
"Kingella"	4.22399659948544	-1.76335395691761	0.710097727472619	-2.4832553164108	0.0130187739491553	0.0400950538114943
"Lentisphaera"	3.27211721354149	-1.74288291489817	0.447562407187175	-3.89416735389325	9.85366068106725e-05	0.00081503850490542
"Halanaerobium"	4.72893741721977	-1.70186307239141	0.433780755109497	-3.92332544112479	8.73350500239471e-05	0.000743632264174491
"Lawsonia"	2.54771430985425	-1.67451323608817	0.539801837590098	-3.10208880274268	0.00192160304557556	0.00861299104692936
"Mariprofundus"	1.2840332265181	-1.57067213680295	0.59988927512478	-2.61827007405032	0.00883768275744877	0.0290739677077434
"Finegoldia"	20.8816289882971	-1.55660384247123	0.353893745750396	-4.39850622160788	1.08998502605826e-05	0.000167415233027899
"Labrenzia"	29.6692405830523	-1.54125751683097	0.538919681743904	-2.85990207639769	0.00423771839088538	0.0160368558713898
"Desulfatibacillum"	16.1397559807745	-1.53714177226901	0.492769910910656	-3.11939048678585	0.00181225614343332	0.00819762739881168
"Methylacidiphilum"	3.51813757012888	-1.51312404446236	0.54119936987385	-2.79587177792735	0.00517599312820294	0.0187306251326844
"Deferribacter"	3.38830348330652	-1.49913112441539	0.484388420912829	-3.09489463350565	0.00196882825649524	0.00863599667053594
"Gemella"	3.283456080011	-1.48722303203776	0.482399358703828	-3.08297058278398	0.00204945413155626	0.00874016501575568
"Filifactor"	4.74113958254082	-1.45013153424204	0.358516122749997	-4.04481539942698	5.23643686813043e-05	0.000541410169044199
"Exiguobacterium"	22.4494557488461	-1.44634532401549	0.439830337719612	-3.28841646420834	0.00100752679007579	0.00516246027835294
"Desulfotalea"	9.93889777436772	-1.34060651772082	0.461564178490856	-2.9044856169387	0.00367857104790045	0.0141992842448957
"Saccharomonospora"	27.2708859471642	-1.26241950631432	0.40912286962412	-3.08567327823585	0.00203091849420531	0.00874016501575568
"Acidimicrobium"	2.38667376217055	-1.24864757896009	0.423924560292842	-2.9454476006239	0.00322487765882823	0.0127890696195996
"Gloeobacter"	9.78706843034668	-1.24275652139072	0.501817661392356	-2.47651012908262	0.0132673860345837	0.0404306132317051
"Prevotella"	388.451667686668	-1.21081307623984	0.35375169135344	-3.4227767833627	0.000619849557542176	0.0035889289381692
"Saccharopolyspora"	75.1133035650548	-1.1604511820688	0.366395668538869	-3.16720769843298	0.00153910350054533	0.00735308402722594
"Riemerella"	11.2932468386034	-1.12549099618453	0.441287324824683	-2.55047206858178	0.010757714381683	0.0342237177307388
"Victivallis"	16.8835834262509	-1.09072961747841	0.272659562419192	-4.00033509846794	6.32528511455427e-05	0.000590700013117245
"Thermosediminibacter"	6.47570702612703	-1.08856722494403	0.310310048004544	-3.50799863537801	0.000451491365860163	0.00278099468971313
"Thermosipho"	3.61338263450655	-1.08764163826959	0.341560284022398	-3.18433286640042	0.00145088067760942	0.00711915179945637
"Butyrivibrio"	102.665431551448	-1.04424124787958	0.250499409790009	-4.16863755788869	3.06425806454544e-05	0.00037749051475996
"Subdoligranulum"	28.4644715589838	-1.03846109536793	0.241671166223762	-4.29700038939037	1.73124891177873e-05	0.000250598279979971
"Thermoanaerobacter"	24.2428005135438	-1.03014501990598	0.259951217429173	-3.96283975929698	7.40634951013111e-05	0.000659734825594755
"Alistipes"	72.354841172825	-1.02641461567856	0.242732631497152	-4.22858109083947	2.35169754967703e-05	0.000316658809596046
"Staphylococcus"	142.049980301716	-1.00842240366019	0.265573384502888	-3.79715160669359	0.000146368278415217	0.00114523288111366
"Thermoanaerobacterium"	7.71464799610215	-0.989353182271353	0.295493205848721	-3.34814189527545	0.000813553456613539	0.00441535255963777
"Granulicatella"	8.45301497694367	-0.986778202984337	0.371907645561767	-2.65328829552242	0.00797117561707556	0.026833201641202
"Dictyoglomus"	5.35836260811799	-0.956971162928958	0.32150874758192	-2.97650116871275	0.00291557971006231	0.011642211393973
"Acidaminococcus"	20.3184959787118	-0.953777646540897	0.268287556394285	-3.55505733981635	0.000377896668074473	0.00240441945950681
"Amycolatopsis"	23.015515459794	-0.946405637253492	0.370532059404883	-2.55418016668659	0.0106438165440842	0.0340484518178164
"Ruminococcus"	231.452689786517	-0.941449119510529	0.22497454986403	-4.18469164658634	2.85553451126185e-05	0.000359424887395785
"Clostridium"	846.246535591713	-0.927883592067671	0.175179700559051	-5.29675292917225	1.17880019958923e-07	4.87518082544402e-06
