"Genus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Citromicrobium"	451.489582627581	-1.93189620593196	0.448781038525065	-4.3047634371568	1.67164266123692e-05	0.000282321871675568
"unclassified..derived.from.Rickettsiales."	634.658224009912	-1.76926002766052	0.438262179188815	-4.03698998379295	5.41413794478019e-05	0.00073151019342808
"Paracoccus"	787.741091455264	-1.59241273661394	0.279097421409703	-5.70558025427383	1.1594740972464e-08	4.4060015695363e-07
"Geodermatophilus"	410.577795971246	-1.48676100722709	0.335660542172262	-4.42935889218722	9.45136284233322e-06	0.000174134200246624
"Cronobacter"	934.199785754583	-1.31870791942141	0.324656905594827	-4.0618508237344	4.86851854086128e-05	0.000688385877405502
"Cupriavidus"	1479.2128486776	-1.11949674895021	0.236614164259224	-4.73131755427683	2.23067249333941e-06	5.65103698312651e-05
"Achromobacter"	897.150454801111	-0.955490281780285	0.301876297860385	-3.16517159032535	0.00154991518289441	0.0130881726555528
"Nitrobacter"	925.690134950646	-0.935951500098531	0.236655169095323	-3.95491678325241	7.65612957856418e-05	0.000969776413284796
"Enterobacter"	1597.8778581393	-0.889425075584971	0.307397499950426	-2.89340373857435	0.00381091085136982	0.0272592211486218
"Moraxella"	306.805958617197	-0.87384829236662	0.287924042165526	-3.03499591695871	0.00240538943293524	0.0179106026007079
"Brevundimonas"	761.155327356608	-0.833359995633797	0.301114362728081	-2.76758633525016	0.00564730853947461	0.038150706577784
"Methylobacterium"	2037.91448146552	-0.817132370333235	0.201879850656399	-4.04761727174051	5.17416600060553e-05	0.000714975665538219
"Ochrobactrum"	481.801700801701	-0.789689212132584	0.178062540042017	-4.43489805293264	9.21158696549016e-06	0.000174134200246624
"Mesorhizobium"	1012.09277539398	-0.760536301584795	0.220052355229593	-3.45616069771799	0.000547928555351286	0.00520532127583721
"Azotobacter"	462.363687795415	-0.718821664837519	0.269146149247411	-2.6707484645331	0.00756823365477593	0.0483360290016347
"Delftia"	591.036647145526	-0.703995720921291	0.25428020933447	-2.76858243417317	0.005630074095892	0.038150706577784
"Novosphingobium"	571.37724029759	-0.701242598967616	0.21504740908834	-3.2608744366669	0.00111069212729473	0.0100791166178387
"Pseudomonas"	9900.28658007835	-0.697605132241605	0.228959799089366	-3.04684549434515	0.00231256545306022	0.0175754974432577
"Hahella"	937.747443149252	-0.69360092201352	0.175850256936366	-3.94427016540847	8.00433793452061e-05	0.00099319131922215
"Parvibaculum"	415.779979227323	-0.519101886404117	0.125890902417238	-4.1234265259587	3.73277565201965e-05	0.000553543316201938
"Burkholderia"	7488.30832688808	-0.422898782079456	0.155062738514109	-2.72727533469284	0.00638597281602404	0.0417491556144368
"Coprobacillus"	1713.16525564596	0.356337703809949	0.126918245659881	2.80761605202826	0.00499096929959909	0.0348794176339798
"Rubrobacter"	795.203680511152	0.402855757911836	0.131327459770249	3.06756681821618	0.002158092069024	0.0170405191943713
"Hirschia"	178.069169074364	0.450151793232663	0.16316735555946	2.7588348888122	0.00580078353393893	0.038756883391592
"Acidimicrobium"	103.841430668338	0.580901346734341	0.181688610901731	3.19723588534963	0.00138751410613078	0.0120515510932502
"Oscillochloris"	184.763095692816	0.584013801361798	0.207006925337318	2.82122832562315	0.00478401394604838	0.0338218660371792
"Gloeobacter"	580.690686160043	0.584895793323555	0.181336013663711	3.22548059542241	0.00125761360704759	0.0112445451924255
"Pirellula"	482.334017395207	0.592821719318915	0.194533793085758	3.04739711242651	0.00230832533735072	0.0175754974432577
"Legionella"	1031.08551097269	0.600049306398852	0.224911896478108	2.66793049098342	0.00763200457920549	0.0483360290016347
"Eremococcus"	342.230038851247	0.60612986290182	0.164430353395681	3.68624071155064	0.000227591095229832	0.00242763834911821
"Desulfotalea"	1081.38954206723	0.622653158772133	0.228294602104604	2.72741077989586	0.00638335176411565	0.0417491556144368
