"Genus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gallionella"	1811.83448012821	-1.58068395997665	0.388273104452874	-4.07106220299248	4.67992495776633e-05	0.002005682124757
"unclassified..derived.from.Thiotrichales."	3.04526600912384	-1.52454213738809	0.443764259291342	-3.4354775209312	0.000591510533599225	0.00887265800398838
"Glaciecola"	566.63788959647	-1.5241155874732	0.557544950895674	-2.733619208684	0.0062642443080204	0.0432016848828993
"Gemmatimonas"	2816.16287919082	-1.45989906440706	0.473343611490861	-3.0842268258547	0.00204081933994601	0.0192554479319918
"Tolumonas"	7384.92099397907	-1.45890878760906	0.462422640638022	-3.15492508237949	0.00160539323311672	0.0166075162046557
"Mitsuokella"	28013.7561026473	-1.45771676974878	0.251526791966769	-5.79547315158923	6.8128827190536e-09	2.04386481571608e-06
"Acetobacter"	3442.4918739705	-1.41422580911588	0.421214047838631	-3.35749915363145	0.000786509842737217	0.0100405511838794
"unclassified..derived.from.Burkholderiales."	3552.66729030894	-1.25004982115092	0.278546925891195	-4.48775306764366	7.19782870002009e-06	0.00107967430500301
"Spiroplasma"	13.7868019771162	-1.09310692570163	0.252220612227558	-4.3339317752326	1.46469583754079e-05	0.00133750346487627
"Moritella"	1224.7124191165	-1.06684537913729	0.370659725503152	-2.87823387795668	0.00399908534631734	0.0303728000986127
"Granulicatella"	4867.01126735351	-1.001498359968	0.31198310501501	-3.21010446998345	0.00132686738443029	0.0143066124826476
"Selenomonas"	41070.6640260282	-0.997960493929704	0.334076307760626	-2.98722319047171	0.00281524111347075	0.0237907699729922
"Bifidobacterium"	94894.8268849042	-0.918507715664426	0.24032261936411	-3.82197779840609	0.000132385611117415	0.00378244603192615
"Candidatus.Regiella"	245.67427539537	-0.903572644136213	0.306822539765901	-2.94493567788604	0.00323021808547515	0.0262199875964696
"Prevotella"	2889114.27410233	-0.884993404980204	0.282792337073325	-3.12948156282868	0.00175115061527787	0.0172244322814217
"Providencia"	2359.82482596874	-0.871835901466913	0.290047682506051	-3.00583646776328	0.00264851394471465	0.0227015480975542
"Proteus"	3776.01234579808	-0.811936938786197	0.267621859805265	-3.03389618238586	0.00241417492541335	0.0209928254383769
"Mannheimia"	3801.27818549446	-0.799929415346608	0.240953105688932	-3.31985517704556	0.000900641568555711	0.0112580196069464
