"farm"	"broadclass"	"type"	"padj"	"median_feces"	"median_rumen"	"median_SNP"	"IQR_feces"	"IQR_rumen"	"IQR_SNP"	"prestotal_feces"	"prestotal_rumen"	"prestotal_SNP"	"persamp.pres_feces"	"persamp.pres_rumen"	"persamp.pres_SNP"
"1"	"Biocides"	"Acetate_resistance"	0.0181481481481481	0.000273502731215663	0	0	0.00266675002331103	0.00026248415843067	0	9	5	2	0.1875	0.104166666666667	0.0416666666666667
"1"	"Biocides"	"Acid_resistance"	0	0	0	0	0.002019854444188	0	0	59	17	6	1.22916666666667	0.354166666666667	0.125
"1"	"Biocides"	"Multi-biocide_resistance"	0	0	0	0	0.0077321971547801	0.00898950397889912	0	138	140	21	2.875	2.91666666666667	0.4375
"1"	"Biocides"	"Peroxide_resistance"	0	0	0	0	0.00811627497335324	0.00160064603118049	0	39	30	6	0.8125	0.625	0.125
"1"	"Biocides"	"Phenolic_compound_resistance"	0.00376923076923077	0	0	0	0.00146015800245075	0	0	14	9	2	0.291666666666667	0.1875	0.0416666666666667
"1"	"Drugs"	"Aminocoumarins"	0	0.0931251098965495	0.0524049942547749	0	0.26970526029777	0.226763046871364	0	63	60	14	1.3125	1.25	0.291666666666667
"1"	"Drugs"	"Aminoglycosides"	0	0.0907374653991788	0.0270615218783043	0	0.483523082605136	0.177916197648535	0.000193081962006751	219	212	101	4.5625	4.41666666666667	2.10416666666667
"1"	"Drugs"	"Bacitracin"	0.00744303797468354	0	0	0	0	0	0	11	5	1	0.229166666666667	0.104166666666667	0.0208333333333333
"1"	"Drugs"	"betalactams"	0	0	0	0	0	0	0	174	133	39	3.625	2.77083333333333	0.8125
"1"	"Drugs"	"Cationic_antimicrobial_peptides"	0	0.00126907725821221	0	0	0.236761500549125	0.150349202468287	0	64	47	16	1.33333333333333	0.979166666666667	0.333333333333333
"1"	"Drugs"	"Elfamycins"	0	0.307863907018737	0.0790533530008	0.000191419708684237	0.0554482633286315	0.0448710373462382	0.000276660425482189	16	16	11	0.333333333333333	0.333333333333333	0.229166666666667
"1"	"Drugs"	"Fluoroquinolones"	0	0.0108358507014651	0.00529705609968567	0	0.0840702179607373	0.0250017296621846	0	70	69	23	1.45833333333333	1.4375	0.479166666666667
"1"	"Drugs"	"Fosfomycin"	0	0	0	0	0.00123889473630585	0.000621553809912311	0	40	39	6	0.833333333333333	0.8125	0.125
"1"	"Drugs"	"Fusidic_acid"	0	0.224971315797682	0.0262453391744846	0	0.126642091693982	0.0444133297086834	0	32	23	3	0.666666666666667	0.479166666666667	0.0625
"1"	"Drugs"	"Glycopeptides"	0	0	0	0	0.0940234262250821	0	0	200	108	1	4.16666666666667	2.25	0.0208333333333333
"1"	"Drugs"	"Lipopeptides"	0	0	0	0	0.0330000562739934	0.00421280586870558	0	42	42	3	0.875	0.875	0.0625
"1"	"Drugs"	"Metronidazole"	0	0	0	0	0	0.215019960797981	0	3	28	0	0.0625	0.583333333333333	0
"1"	"Drugs"	"MLS"	0	0.0554448286774295	0	0	0.30329140227281	0.079921849783038	0	381	259	26	7.9375	5.39583333333333	0.541666666666667
"1"	"Drugs"	"Multi-drug_resistance"	0	0	0	0	0.140406465689625	0.143127316000828	0	201	205	25	4.1875	4.27083333333333	0.520833333333333
"1"	"Drugs"	"Mupirocin"	0	0.038945421132389	0.0283673828492821	0	0.196361825700017	0.0858986813416057	0	49	48	2	1.02083333333333	1	0.0416666666666667
"1"	"Drugs"	"Mycobacterium_tuberculosis-specific_Drug"	0	0	0	0	0.0374544110967497	0.105016814567327	0	33	41	3	0.6875	0.854166666666667	0.0625
"1"	"Drugs"	"Oxazolidinone"	0	0.471480704168406	0.148178847462509	0.000152092814954741	0.115324995430768	0.117340568823285	0.000233923082643938	16	16	16	0.333333333333333	0.333333333333333	0.333333333333333
"1"	"Drugs"	"Pactamycin"	0	0.370748370234758	0.103470118033621	0	0.283551088830053	0.0761317885391427	0	16	16	3	0.333333333333333	0.333333333333333	0.0625
