"farm"	"broadclass"	"type"	"protein"	"gene"	"prestotal_feces"	"prestotal_rumen"	"prestotal_SNP"	"diff.fecrum"	"diff.fecSNP"	"diff.rumSNP"
"1"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"EEFA"	1	7	1	-6	NA	NA
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	"SMDA"	1	6	1	-5	NA	NA
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_regulator"	"OXYRKP"	1	7	1	-6	NA	NA
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"KEXD"	1	8	0	-7	NA	NA
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"MEXW"	13	16	2	-3	NA	NA
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"SRPB"	0	7	1	-7	-1	NA
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"TBTB"	13	16	1	-3	NA	NA
"1"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"VMEI"	0	8	0	-8	NA	NA
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-DPRIME"	14	16	8	-2	NA	NA
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-PRIME"	7	15	7	-8	NA	NA
"1"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RPSL"	15	16	0	-1	NA	NA
"1"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"ACI"	15	16	0	-1	NA	NA
"1"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"AMPH"	8	9	1	-1	NA	NA
"1"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"PBP4B"	8	0	1	NA	NA	-1
"1"	"Drugs"	"Cationic_antimicrobial_peptides"	"Polymyxin_B_resistance_regulator"	"ARNA"	7	11	0	-4	NA	NA
